Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
88,1211,94,Jul 19,CIN,,ATL,L4-5,CG(11),5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,2,0,0,.263,.315,.533,.848,4,1.98,-0.077,0.08,16.00,22.20,RF
89,1212,95,Jul 20,CIN,,ATL,W6-3,CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.263,.314,.530,.844,4,1.13,-0.018,-0.56,5.00,6.20,RF
90,1213,96,Jul 22,CIN,,ARI,W6-2,CG,5,3,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.264,.318,.528,.846,4,.62,0.060,0.70,7.00,9.00,RF
91,1214,97,Jul 23,CIN,,ARI,W6-1,CG,4,4,1,2,1,0,1,3,0,0,2,0,0,0,0,0,0,0,.267,.320,.539,.859,4,.82,0.039,1.04,23.00,31.70,RF
92,1215,98,Jul 24,CIN,,ARI,L8-9,CG,5,4,3,2,0,0,1,4,1,0,1,0,0,0,0,0,1,0,.269,.324,.547,.871,4,2.08,0.104,2.15,34.00,47.60,RF
93,1216,99,Jul 25,CIN,@,SFG,W7-5,CG,4,4,2,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,.272,.326,.564,.889,4,1.45,0.404,2.55,32.00,44.40,RF
94,1217,100,Jul 26,CIN,@,SFG,L7-9,CG,5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.271,.324,.567,.891,4,.83,-0.084,-0.12,14.00,18.70,RF
95,1218,101,Jul 27,CIN,@,SFG,W2-1,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.271,.323,.572,.895,4,1.12,0.125,0.19,14.00,18.70,RF
96,1219,102,Jul 29,CIN,@,SDP,W6-0,CG,5,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.268,.319,.566,.885,4,.57,-0.013,-1.10,4.00,6.70,RF
97,1220,103,Jul 30,CIN,@,SDP,L1-2,CG(10),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.265,.316,.559,.875,4,1.14,-0.096,-0.74,0.00,0.00,RF
Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
